is_entitled,0.11254581521376407,0.6031924880368855
ttl_login_days_l7,0.01549098318949509,1.5261421970568456
ttl_login_days_itd,0.00022164377883733037,1.6953466735850853
ttl_streams_l7,0.008752846068273088,4.426553218933882
ttl_streams_itd,0.019132924274141573,2.560976970838391
streaming_profiles_l7,0.0035965488400619586,2.691130521768992
streaming_profiles_itd,0.03270349460264127,1.2922568509491583
general_streaming_profiles_l7,0.0037545818208968864,2.643845079783791
general_streaming_profiles_itd,0.023320001264950718,1.3314092300155567
kids_streaming_profiles_l7,0.47305857111912053,3.181262150840247
kids_streaming_profiles_itd,0.7624627086252048,0.9833256212910424
streaming_devices_l7,0.01037570030192665,2.5377259258399176
streaming_devices_itd,0.02333187910377082,1.456323216365929
ttl_stream_days_l7,0.06519552724183045,1.757303830800816
ttl_stream_days_itd,0.0033392842478994367,1.74144722547398
ttl_stream_days_general_profiles_l7,0.01204268296188729,2.7251231108310403
ttl_stream_days_general_profiles_itd,0.0041103329016316725,2.062455538492469
ttl_stream_days_kids_profiles_l7,0.48084878667299,3.6345706031559066
ttl_stream_days_kids_profiles_itd,0.7529533034217017,-1.308911163705273
ttl_stream_time_ms_l7,0.005528643117960047,4.173884216552981
ttl_stream_time_ms_itd,0.019232265451084096,2.264954576763345
ttl_stream_time_general_profiles_ms_l7,0.0063917725400758135,4.159015824574053
ttl_stream_time_general_profiles_ms_itd,0.015249399799168823,2.349076500446312
ttl_stream_time_kids_profiles_ms_l7,0.5165643299687265,4.489360318098634
ttl_stream_time_kids_profiles_ms_itd,0.9778200837318016,-0.14745494846594154
ttl_stream_time_web_ms_l7,nan,Undefined
ttl_stream_time_web_ms_itd,nan,Undefined
ttl_stream_time_mobile_ms_l7,nan,Undefined
ttl_stream_time_mobile_ms_itd,nan,Undefined
ttl_stream_time_connected_tv_ms_l7,nan,Undefined
tl_stream_time_connected_tv_ms_itd,nan,Undefined
days_since_last_stream,nan,-1.8902365281134204
ttl_login_days_l7_bin,0.005389228272193452,1.3168915190916008
ttl_login_days_itd_bin,nan,0.0
ttl_streams_l7_bin,0.13254644967367948,1.0755032574869094
ttl_streams_itd_bin,0.2537786989455968,0.193227381966099
general_streaming_profiles_l7_bin,0.1572041830862247,1.0245972406593085
general_streaming_profiles_itd_bin,0.3075740895172852,0.17378406856241035
kids_streaming_profiles_l7_bin,0.20602684829509027,5.358971471762741
kids_streaming_profiles_itd_bin,0.48079114993159466,2.07747644625933
ttl_stream_time_web_ms_l7_bin,nan,Undefined
ttl_stream_time_web_ms_itd_bin,nan,Undefined
ttl_stream_time_mobile_ms_l7_bin,nan,Undefined
ttl_stream_time_mobile_ms_itd_bin,nan,Undefined
ttl_stream_time_connected_tv_ms_l7_bin,nan,Undefined
tl_stream_time_connected_tv_ms_itd_bin,nan,Undefined
days_since_last_stream_bin,0.6862877881836491,0.19670798954127822
