name,p,diff,marketing_mean,holdout_mean
is_entitled,0.3721591881364412,-0.18384037411255383,0.7593043716841709,0.760702850650692
ttl_login_days_l7,0.465287647712615,0.25449377934865236,3.081489923572693,3.0736676306548234
ttl_login_days_itd,0.004481884209459517,0.7298102812943519,32.61703719532625,32.38071937616195
ttl_streams_l7,0.035856318774994886,1.891067598152718,7.9389948107520585,7.79164945259244
ttl_streams_itd,0.0030365592082184424,1.714461554770863,105.05730544277449,103.28649814087998
streaming_profiles_l7,0.01004264730287918,1.2882400697772578,0.604478529387711,0.5967904358603594
streaming_profiles_itd,0.054773776554970524,0.6291552273819834,1.5337839299517482,1.5241943813261722
general_streaming_profiles_l7,0.004936361457341222,1.3924185459901262,0.5706727027618829,0.5628356744474282
general_streaming_profiles_itd,0.05099164475210322,0.6226729173866241,1.4641445919172253,1.4550841768229705
kids_streaming_profiles_l7,0.8639740088701909,-0.3832723562572027,0.03404326044115203,0.034174240859326584
kids_streaming_profiles_itd,0.8072805668851539,0.4011829818444612,0.07767040493018126,0.07736004957653378
streaming_devices_l7,0.00577774764608186,1.494848837223306,0.8067330953718873,0.794851270398678
streaming_devices_itd,0.06479525632297183,0.6279903171863221,2.9912065067418014,2.972539248089238
ttl_stream_days_l7,0.00183366709076544,1.6626278127492844,1.5087035322237259,1.484029642635819
ttl_stream_days_itd,0.0003942103591648734,1.1681110278397133,19.495106489066174,19.27001136128899
ttl_stream_days_general_profiles_l7,0.0006739336427820584,2.025170761652073,1.6163776569503474,1.5842930179714936
ttl_stream_days_general_profiles_itd,0.00015406931744856684,1.4755557163796507,21.66836405463088,21.35328444536253
ttl_stream_days_kids_profiles_l7,0.980569723720257,-0.06368096253834832,0.09650945909938716,0.09657095641396406
ttl_stream_days_kids_profiles_itd,0.5273746527286565,1.3905679351315925,0.9372763175598136,0.9244216071059699
ttl_stream_time_ms_l7,0.03134054809855621,1.7568474502216214,12605565.842159804,12387928.83036821
ttl_stream_time_ms_itd,0.001078691134448125,1.6856080373825355,180009803.72474033,177025841.9053398
ttl_stream_time_general_profiles_ms_l7,0.034752267573323635,1.751144267139182,11970753.11941338,11764735.62595538
ttl_stream_time_general_profiles_ms_itd,0.000906343849100462,1.7118607708005662,173736410.04770467,170812340.5973327
ttl_stream_time_kids_profiles_ms_l7,0.5965053077220165,1.8645130035625623,634812.7227464233,623193.204412828
ttl_stream_time_kids_profiles_ms_itd,0.7264364875055175,0.9639069191368366,6273393.677035665,6213501.308007127
ttl_stream_time_web_ms_l7,0.4303349384150569,-2.275810171842496,632104.0475669629,646824.5463876266
ttl_stream_time_web_ms_itd,0.8453702555909318,-0.290492140182641,11127045.698695961,11159463.061777009
ttl_stream_time_mobile_ms_l7,0.6189887347826721,0.6965278842822942,3034212.117463257,3013224.1708970256
ttl_stream_time_mobile_ms_itd,0.6922468095239658,0.3387982937102185,44240306.32079314,44090927.01239413
ttl_stream_time_connected_tv_ms_l7,0.008828370089547793,2.586502703336979,8820776.04523589,8598378.74651415
tl_stream_time_connected_tv_ms_itd,0.00013944673625731037,2.4504614785678447,121738435.25591144,118826634.35476916
days_since_last_stream,,-0.40481042826607805,16.938443445074803,17.007290731521532
ttl_login_days_l7_bin,0.41062321934166846,0.22065843756984282,0.6523995325191991,0.6509631274530056
ttl_login_days_itd_bin,0.685979126972142,-0.0002110522802856174,0.9999978894771971,1.0
ttl_streams_l7_bin,0.010644998204057761,1.0341938941260453,0.45552521679026414,0.4508624251187771
ttl_streams_itd_bin,0.18437641998053228,0.11154687595145152,0.9502169881256711,0.9491582317702953
general_streaming_profiles_l7_bin,0.011035107388901516,1.0443194338920714,0.4483045906509116,0.44367124561041105
general_streaming_profiles_itd_bin,0.19797172372556623,0.10884017152010816,0.9496355390934776,0.9486030778764718
kids_streaming_profiles_l7_bin,0.9961454927442959,0.01018317971288596,0.029361593233663896,0.029358603594298698
kids_streaming_profiles_itd_bin,0.8105495896676297,0.3516592522015305,0.059156898903319585,0.05894959719066309
ttl_stream_time_web_ms_l7_bin,0.34893441078307585,1.5231950192551746,0.049741856679672763,0.04899555876884941
ttl_stream_time_web_ms_itd_bin,0.6003718482735053,-0.33169779855894976,0.2498141420856714,0.2506455277835158
ttl_stream_time_mobile_ms_l7_bin,0.4902036271161496,0.495784867420368,0.20812498516038655,0.20709822350753976
ttl_stream_time_mobile_ms_itd_bin,0.9281317963449398,-0.026462637471036388,0.6094234843148584,0.6095847965296426
ttl_stream_time_connected_tv_ms_l7_bin,0.0006982958280889441,1.784208756371486,0.33443608149783804,0.32857364180954346
tl_stream_time_connected_tv_ms_itd_bin,0.06768630052384883,0.4125623634482656,0.7266350615876935,0.723649555876885
days_since_last_stream_bin,0.08844464876900816,-0.39887939429924524,0.7085726798099474,0.7114103491014253
